,time,latitude,longitude,elevation_gain
165,2023-06-02 02:42:08+00:00,47.496338,-121.83803,334.70000000000005
166,2023-06-04 20:11:37+00:00,47.488231,-121.947264,809.2999999999992
167,2023-07-15 17:40:50+00:00,47.418599,-121.549681,1371.8999999999987
168,2023-07-16 19:45:10+00:00,47.2394,-120.974409,478.9999999999999
169,2023-07-21 21:57:47+00:00,47.473902,-121.928917,288.69999999999953
170,2023-07-29 01:32:06+00:00,47.488274,-121.947307,670.6999999999999
171,2023-08-10 01:27:37+00:00,47.688816,-122.398459,184.5
172,2023-08-10 19:53:35+00:00,47.486031,-121.830912,638.7000000000011
173,2023-09-14 19:54:00+00:00,43.712276,-114.537184,745.8999999999987
174,2023-09-14 23:45:41+00:00,43.525236,-114.335233,697.600000000001
175,2023-09-15 18:00:39+00:00,43.50364,-114.393887,832.6999999999998
176,2023-09-15 21:45:55+00:00,43.734083,-114.27589,187.20000000000005
177,2023-09-16 16:25:25+00:00,43.508764,-114.372525,388.4999999999991
178,2023-09-18 18:32:10+00:00,40.568332,-111.614414,424.9999999999977
179,2023-09-19 18:05:46+00:00,40.628985,-111.569655,1136.0000000000002
180,2023-09-23 18:51:25+00:00,47.233277,-120.962607,441.4000000000003
181,2023-09-28 21:53:32+00:00,47.490626,-121.945511,706.3
182,2023-09-30 20:50:17+00:00,48.70996,-122.392229,650.6999999999998
183,2023-10-02 21:37:36+00:00,47.511994,-121.990324,629.8
